example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,reason,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,more fleeting than what we do here but what but we do that for sure and we're trying to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O-Dycra and we're going to see them in some sense from L to O,False,-1,14.221439361572266,0.15000000596046448,0.08616552501916885,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,,
1,DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,5105-28240-0024,0.0,stage1,impossible_target,
2,BUT THE AFFAIR WAS MAGNIFIED AS A CROWNING PROOF THAT THE FREE STATE MEN WERE INSURRECTIONISTS AND OUTLAWS,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729-102255-0021,0.0,stage1,impossible_target,
3,ON ARRIVING AT HOME AT MY OWN RESIDENCE I FOUND THAT OUR SALON WAS FILLED WITH A BRILLIANT COMPANY,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,to,False,-1,13.690842628479004,0.15000000596046448,0.08707532286643982,stage1,LibriSpeech/test-clean/8455/210777/8455-210777-0002.flac,8455-210777-0002,0.15,stage1,,
4,NO THANK YOU I'LL JUST LOOK AT THE WHELPS AND LEAVE A MESSAGE ABOUT THEM WITH YOUR SHEPHERD,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,"I'm going to put on a pen with a pen with a small poop, and I'm going to put on a pencil, and I'm going to play my mind, and I'm going to put on a pen with a hand, and I'm going to put on a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen with a pen",False,-1,21.912277221679688,0.15000000596046448,0.08694855868816376,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0051.flac,2094-142345-0051,0.15,stage1,,
5,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,THE REAL HUMAN DIVISION IS THIS THE LUMINOUS AND THE SHADY,"20 to the early point following the following, but the door on the left comes from the split of the door, but glad you're trying to answer the language of the day.",False,-1,11.864482879638672,0.15000000596046448,0.08611349761486053,stage1,LibriSpeech/test-clean/6829/68769/6829-68769-0024.flac,6829-68769-0024,0.15,stage1,,
6,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,1995-1836-0013,0.0,stage1,impossible_target,
7,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY,"So, this is the equation. So, you can find this as a result of the simple simple simple, right?",False,-1,11.918658256530762,0.15000000596046448,0.08659651130437851,stage1,LibriSpeech/test-clean/1580/141083/1580-141083-0025.flac,1580-141083-0025,0.15,stage1,,
8,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,WHY ARE WE TO BE DENIED EACH OTHER'S SOCIETY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,61-70968-0029,0.0,stage1,impossible_target,
9,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I SUPPOSE THAT'S THE WET SEASON TOO THEN,"I see you can see that too, as well. Most of you can see that too.",False,-1,13.991714477539062,0.15000000596046448,0.08678170293569565,stage1,LibriSpeech/test-clean/672/122797/672-122797-0015.flac,672-122797-0015,0.15,stage1,,
