example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,reason,iteration_history,audio_file,audio_name,stage1_distortion,final_stage
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.0,stage1
1,DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,down to mail or to probably be thinking about it. And you can find it at the email in the five of the three. So whatever you're talking about to me please I will mail to the advantages of the MSI Board to come to our team to mail.,False,-1,11.643243789672852,0.10000002384185791,0.060175225138664246,stage1,,,LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,5105-28240-0024,0.100000024,stage1
2,BUT THE AFFAIR WAS MAGNIFIED AS A CROWNING PROOF THAT THE FREE STATE MEN WERE INSURRECTIONISTS AND OUTLAWS,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729-102255-0021,0.0,stage1
3,ON ARRIVING AT HOME AT MY OWN RESIDENCE I FOUND THAT OUR SALON WAS FILLED WITH A BRILLIANT COMPANY,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,"When a larger unit held on a pump right in the middle of the tank, the third metar plant was politically related to the company's investment.",False,-1,10.872858047485352,0.10000002384185791,0.0604807510972023,stage1,,,LibriSpeech/test-clean/8455/210777/8455-210777-0002.flac,8455-210777-0002,0.100000024,stage1
4,NO THANK YOU I'LL JUST LOOK AT THE WHELPS AND LEAVE A MESSAGE ABOUT THEM WITH YOUR SHEPHERD,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,We will join CEO today. I just make up a lot and even you'll see without chance if you've done anything good.,False,-1,9.774128913879395,0.10000000149011612,0.06001705303788185,stage1,,,LibriSpeech/test-clean/2094/142345/2094-142345-0051.flac,2094-142345-0051,0.1,stage1
5,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,THE REAL HUMAN DIVISION IS THIS THE LUMINOUS AND THE SHADY,"But as the virus finds its sale, the poor and smoothings this business was not an accident for them.",False,-1,11.953661918640137,0.10000002384185791,0.060228753834962845,stage1,,,LibriSpeech/test-clean/6829/68769/6829-68769-0024.flac,6829-68769-0024,0.100000024,stage1
6,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,1995-1836-0013,0.0,stage1
7,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/1580/141083/1580-141083-0025.flac,1580-141083-0025,0.0,stage1
8,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,WHY ARE WE TO BE DENIED EACH OTHER'S SOCIETY,with the banner of our sister in how we live it and how we quickly do quite a few things.,False,-1,10.35280990600586,0.10000002384185791,0.06076091155409813,stage1,,,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,61-70968-0029,0.100000024,stage1
9,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I SUPPOSE THAT'S THE WET SEASON TOO THEN,The,False,-1,12.952537536621094,0.10000002384185791,0.059823233634233475,stage1,,,LibriSpeech/test-clean/672/122797/672-122797-0015.flac,672-122797-0015,0.100000024,stage1
