example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history,reason
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"for more senior v. raids of our health but rural health areas. If we went out from the council of the council, if we went out from the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of the council of",False,-1,42.27248001098633,0.10000002384185791,0.0569438710808754,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.100000024,stage1,,
1,DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,"and free vocals and fallow email her row. We also have some years through the December's sustenance of the wildland. Whether our mimics lift is our old, ill-frewed, vimmed, sailor, we want tons of weekends mad at how I've done it today.",False,-1,18.891380310058594,0.10000002384185791,0.05731086805462837,stage1,LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,5105-28240-0024,0.100000024,stage1,,
2,BUT THE AFFAIR WAS MAGNIFIED AS A CROWNING PROOF THAT THE FREE STATE MEN WERE INSURRECTIONISTS AND OUTLAWS,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729-102255-0021,0.0,stage1,,impossible_target
3,ON ARRIVING AT HOME AT MY OWN RESIDENCE I FOUND THAT OUR SALON WAS FILLED WITH A BRILLIANT COMPANY,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,to,False,-1,17.14153480529785,0.10000002384185791,0.05746593326330185,stage1,LibriSpeech/test-clean/8455/210777/8455-210777-0002.flac,8455-210777-0002,0.100000024,stage1,,
4,NO THANK YOU I'LL JUST LOOK AT THE WHELPS AND LEAVE A MESSAGE ABOUT THEM WITH YOUR SHEPHERD,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I am Mr. Locke of the world and we are in the act with the events and events,False,-1,35.019325256347656,0.10000000149011612,0.056576501578092575,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0051.flac,2094-142345-0051,0.1,stage1,,
5,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,THE REAL HUMAN DIVISION IS THIS THE LUMINOUS AND THE SHADY,"12, where we should sign that 12. But to worry, the health source, this will be the third. If you don't, all right, so do.",False,-1,17.156566619873047,0.10000002384185791,0.05724557861685753,stage1,LibriSpeech/test-clean/6829/68769/6829-68769-0024.flac,6829-68769-0024,0.100000024,stage1,,
6,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,1995-1836-0013,0.0,stage1,,impossible_target
7,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY,for the ban health.,False,-1,16.312686920166016,0.10000002384185791,0.05746031552553177,stage1,LibriSpeech/test-clean/1580/141083/1580-141083-0025.flac,1580-141083-0025,0.100000024,stage1,,
8,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,WHY ARE WE TO BE DENIED EACH OTHER'S SOCIETY,"safe as four hours on the Dings Rocks tomorrow morning, and tightest twist with Unston.",False,-1,12.217877388000488,0.10000000149011612,0.05616273730993271,stage1,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,61-70968-0029,0.1,stage1,,
9,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I SUPPOSE THAT'S THE WET SEASON TOO THEN,I remember when the call was four times easier. I remember those times.,False,-1,31.229015350341797,0.10000002384185791,0.05690263956785202,stage1,LibriSpeech/test-clean/672/122797/672-122797-0015.flac,672-122797-0015,0.100000024,stage1,,
