example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"More TV viewers, as well as the official phone number, please watch the video.",False,1000,2.4470927715301514,0.15000000596046448,0.1497194766998291,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"Sanctuary, the C1 Indian for you, is the head of the Slytherin test with the Indian Indian Land, which is this high school. The Red and the Orange Breeding Road Opera School, and Indian Indian University University.",False,1000,2.9028818607330322,0.15000000596046448,0.14893533289432526,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,All those who are known with the many others are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who are not the people who,False,1000,3.2160372734069824,0.15000000596046448,0.1497565358877182,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,The city of St. Louis is a place where you can see the beautiful scenery of the city.,False,1000,3.24666166305542,0.15000000596046448,0.14969989657402039,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,The final duel is the aid of the triangle of the West. The people take the one in part in it as well. It also the only way to make it.,False,1000,2.7986538410186768,0.15000000596046448,0.1497306227684021,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"This car is good luck to this family, so it's good to go and find some of this car. But, it's grown and has a great connection to the most sincere experience it has in the car.",False,1000,2.8405563831329346,0.15000000596046448,0.14980976283550262,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,"Multi-girds are landed before landing. After the motion, they are still struggling with their players' injuries and their mom's surgery.",False,1000,3.168081760406494,0.15000000596046448,0.14973270893096924,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"This is Mage Land, the 40th Watt Sea, and the D-Festile of the Black Sea, and the Cod of the KJS is the biggest part of the world.",False,1000,3.7083170413970947,0.15000000596046448,0.14969737827777863,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,Good as well as the procedures and the law should apply express troops to the Green Bull which is made to be the only blue stalker.,False,1000,3.678976535797119,0.15000000596046448,0.14970017969608307,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"If you want to see the hot corn, you'll be able to see the hot corn corn. You can also see the corn in the other side of the house.",False,1000,4.183848857879639,0.15000000596046448,0.14962953329086304,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
