example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,The World Will Be Your Higher Boxing is the highest-selling fan of the world's best-selling idols in the world.,False,1000,3.2640533447265625,0.15000000596046448,0.1498020887374878,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"The fluctuation, the climate is where you endure the escalation as it gets in the early end during the snowstorms of the world. The large breathing copper drops, pollating and it's the first of the sort.",False,1000,2.5402934551239014,0.15000000596046448,0.1498323678970337,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"I'm not fooling you at all, you're not a good old lawyer. I can't find your son's mother and daughter. He's a pedestrian. I'm carrier-free to trade-rate a joint.",False,1000,2.952238082885742,0.15000000596046448,0.14893922209739685,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,"Hey, I'm here, we will go home and go down on the other side to the course of the day. This is how to free this I'd rather enter the field. But come from my Linda Cameras, my down.",False,1000,3.0644378662109375,0.15000000596046448,0.14897114038467407,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,Final Grave instead of a inter-featured house-let's expect the power of the one in the party with the Zoolink and the Tor-Dor-Ons will be rigorous master of the system.,False,1000,3.701442003250122,0.15000000596046448,0.14906573295593262,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"Harsha's lovely history of a small family and from such a good book, Bullard's voice and inspiration came as his core in writing the run of her connection.",False,1000,3.303729772567749,0.15000000596046448,0.14985986053943634,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,"The more clear, earned all Atlantic's combined energy and its optimistic and devastating Australian works works in the same college.",False,1000,3.1765503883361816,0.15000000596046448,0.14975605905056,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"The engine doesn't have a lot of pressure, but the security of the best for the landing to cry out to James Hasper in the tension period of the car is very fast.",False,1000,4.0495805740356445,0.15000000596046448,0.14961324632167816,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,"UNHASH PERFECT, and Jack Starer, and the Roger, to provide some fresh tips to the Greenland. She's got her to leave her new TV stalker.",False,1000,3.524763822555542,0.15000000596046448,0.14974552392959595,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"The law has started at the time of the election, and we have to be out again in the law of the new democracy, and to the dark-conest school of the San Francisco National Historical Association.",False,1000,3.6453661918640137,0.15000000596046448,0.14978854358196259,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
