example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"The more free you are, the more you will survive in the future. I love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love you so much. I will love",False,1000,3.8607177734375,0.15000000596046448,0.14977028965950012,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"Next, we'll find the same authority as the other professor, and in early years, the search was made to the end of the large community of Goldoppert, and the University of St. Louis, and the University of St. Louis.",False,1000,2.520841121673584,0.15000000596046448,0.14981894195079803,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"While the horse is ready with the mackerel on the hill from the walkway, the horse is ready for all the long-time deserts of the horses to carry the sea to play for themselves.",False,1000,2.8399269580841064,0.15000000596046448,0.14971940219402313,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,The sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the people is the only place where the sea of the,False,1000,4.162562847137451,0.15000000596046448,0.14989922940731049,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,"The Fina Guren is the way to Pitoriang, the city of Piappon, and the part of the city. And the Tokyo is very great in the city.",False,1000,3.786396026611328,0.15000000596046448,0.14934280514717102,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"A chuk-duk with three-year-old foot, pulled to the early stage of the stage, and quite a few of the greenery, the greenery, and the production stage, and the feeling of dropping down to some age 4.",False,1000,3.163127899169922,0.15000000596046448,0.14971444010734558,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,All pleasure is derived from a boy engine. It's not supposed to be a series of stories where flight scissors are seen in parts of the world.,False,1000,3.688117504119873,0.15000000596046448,0.1497158706188202,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"The engine is still a little bit more special, but the engine has a lot of energy and it has a great power.",False,1000,3.6759676933288574,0.15000000596046448,0.14970892667770386,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,"Goodness plus HSR, the watch will be fine.",False,1000,3.6185479164123535,0.15000000596046448,0.14971451461315155,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"The water is very cold, and the water is very cold. The water is very cold, and the water is very cold.",False,1000,3.9079954624176025,0.15000000596046448,0.14970241487026215,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
