example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"More than the end of the series, but the game is not yet finished, so I hope you'll be able to see it in the next series.",False,100,7.020599365234375,0.15000000596046448,0.14968076348304749,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,And what? You have a liquid-coloured perovac solid that is made in a new air. There are no tools for that. But the air is also the ideal for a source of solar energy.,False,100,4.989702224731445,0.15000000596046448,0.1495986431837082,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"While the release rate may be a bit less than the release rate, I'm going to tell you that if you're a forwarder, you're a number of enemies. For currently, you're the only one who's been able to get rid of any of the injuries.",False,100,4.607044219970703,0.15000000596046448,0.14888101816177368,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware! Beware!,False,100,3.4752793312072754,0.15000000596046448,0.14948371052742004,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,The only other thing that I can say is that the part of the film is actually a bit different. It's actually a unique experience that I can see.,False,100,5.583078861236572,0.15000000596046448,0.14950083196163177,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,The stress-y elastros and unseemable experience the aeronautical system thus disbould at the ends of the air during the creature's four-to-large atmosphere before it's too rough.,False,100,4.8529510498046875,0.15000000596046448,0.14945879578590393,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,The most beautiful city out of Edgert the Gorge of the USA is the most beautiful city in the country.,False,100,5.874792575836182,0.15000000596046448,0.1494467854499817,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"The JJ-148-13, which is one of the most important data that has been sent to the British Navy in the United States,",False,100,5.527223587036133,0.15000000596046448,0.14939290285110474,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,The wisdom and friendship starts with one impression from Sprayers to do the green food and the green food.,False,100,6.326128959655762,0.15000000596046448,0.14919903874397278,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,The saw is a straight up to the side of the road. The engine is going to be in the middle of the road. The car is going to be in the middle of the road.,False,100,4.550378799438477,0.15000000596046448,0.14941062033176422,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
