example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,The Institute of World will be through AIS and PAPA to provide an age of 5-9 and help to help with some priorities and further expand her modernity and care of seed as grown AIS is the biggest.,False,1000,2.977100133895874,0.15000000596046448,0.14944374561309814,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"The Drift, they finally have joined you under the interpolarization test, and they're nearly unbalanced as they walk through the dead large breathing concocted across Poland, and it's very impressive, unfortunately.",False,1000,2.528265953063965,0.15000000596046448,0.14967699348926544,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"I know the glory of the Uyanate Government of the Uyanos, if I am just the author of the only Iron Desert bestie for those who are so glorious to be the critical air-joicing.",False,1000,3.105766773223877,0.15000000596046448,0.14875616133213043,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,I'm going to go back to the hotel. Now I'm going to the hotel to get my camera back. From the bathroom to the bathroom.,False,1000,3.6618268489837646,0.15000000596046448,0.14974960684776306,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,"Final Dura has the latest in the game, actually, the first project they won on a party was released and the top third are a whole bigger ad on its releases.",False,1000,3.37172269821167,0.15000000596046448,0.14970509707927704,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"I insult Mara's younger brother and son, and I insult her. She has no blood and her first relationship with her sister, and is back in her comforts for their faces.",False,1000,3.425764560699463,0.15000000596046448,0.14984427392482758,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,"The Machinator and the Corvidator and the Boy Eggragrance have been successfully entered the Stury World Park, so they are organizing the Map Village.",False,1000,3.416274070739746,0.15000000596046448,0.14976444840431213,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,This is the Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Zen-Z,False,1000,3.6937527656555176,0.15000000596046448,0.1497166007757187,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,"UNHASH PRESSING YETSTER IN THE GAME OF HARD, INSTERED FIRE SHIFT TO THE GREEN END, AND SHE COULD NEED TO BE DONE IN STALKING.",False,1000,3.409945011138916,0.15000000596046448,0.14976781606674194,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"The first time we saw the film was a film by the American director of the film, The Darkness to the Author of Sana Had a long-time exhibition.",False,1000,3.479351043701172,0.15000000596046448,0.14986291527748108,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
